,INFL,FEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP
1953-3,1.663204059,#N/A,2.916666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.515333595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.155449024
1953-4,0.746191532,#N/A,2.643333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.513312987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.181553536
1954-1,1.268092034,#N/A,2.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.880600765,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.387695411
1954-2,0.357646435,#N/A,2.346666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.567437895,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.930181971
1954-3,0.522139472,1.03,2.346666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.272907154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.436773489
1954-4,1.097018171,0.986666667,2.473333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.567109673,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1401584
1955-1,1.858053754,1.343333333,2.646666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.299870401,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.088691633
1955-2,1.659471214,1.5,2.763333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.060386724,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.07892107
1955-3,2.786525083,1.94,2.946666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.604675552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.813169842
1955-4,3.943561669,2.356666667,2.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.181515011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.759041789
1956-1,3.984361252,2.483333333,2.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.967416461,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.676681509
1956-2,2.371704689,2.693333333,3.083333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.666723273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.856149436
1956-3,4.987172538,2.81,3.273333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.484192597,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.073440143
1956-4,1.605595837,2.926666667,3.473333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.164565051,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.020310476
1957-1,5.441911568,2.933333333,3.403333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.700085922,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.895606815
1957-2,2.794726816,3,3.626666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.434285656,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.84936782
1957-3,2.37284553,3.233333333,3.926666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.299840834,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.994458977
1957-4,0.27675568,3.253333333,3.633333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.303369711,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.068689649
1958-1,4.302730669,1.863333333,3.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.377422747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.368456338
1958-2,1.167738958,0.94,2.923333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.72662535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.59472402
1958-3,2.423950035,1.323333333,3.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.007241011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.247168585
1958-4,1.894280732,2.163333333,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.728984676,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.894057975
1959-1,0.93154421,2.57,3.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.285425483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.063114894
1959-2,0.611677031,3.083333333,4.256666667,#N/A,#N/A,#N/A,#N/A,#N/A,5.931484054,5.658209907,5.658209907,3.430225881,#N/A,#N/A,2.098358734,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.338625205
1959-3,1.537290286,3.576666667,4.503333333,#N/A,#N/A,#N/A,#N/A,#N/A,5.394766422,5.438400259,5.438400259,2.836220817,#N/A,#N/A,1.234011256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.393240458
1959-4,1.579924881,3.99,4.583333333,#N/A,#N/A,#N/A,#N/A,#N/A,1.393494695,2.061377249,2.061377249,-3.595955138,#N/A,#N/A,-1.039452913,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32688868
1960-1,1.597871632,3.933333333,4.486666667,#N/A,#N/A,#N/A,#N/A,#N/A,2.103501351,2.56187193,2.56187193,-1.046996434,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.878636973
1960-2,1.013514056,3.696666667,4.26,#N/A,#N/A,#N/A,#N/A,#N/A,3.201084106,2.822289194,2.822289194,-0.858676537,#N/A,#N/A,0.129653009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.665639304
1960-3,1.37138867,2.936666667,3.833333333,#N/A,#N/A,#N/A,#N/A,#N/A,7.066623687,6.312309382,6.312309382,3.707691431,#N/A,#N/A,2.160374385,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.170986666
1960-4,1.175166478,2.296666667,3.886666667,#N/A,#N/A,#N/A,#N/A,#N/A,5.78781289,5.901340216,5.901340216,-0.18930431,#N/A,#N/A,2.617593487,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.390416174
1961-1,0.861192845,2.003333333,3.786666667,#N/A,#N/A,#N/A,#N/A,#N/A,6.845041353,6.827920166,6.827920166,1.983240989,#N/A,#N/A,1.608035605,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.691791709
1961-2,0.930871321,1.733333333,3.79,#N/A,#N/A,#N/A,#N/A,#N/A,7.30976328,6.410603277,6.410603277,2.909786385,#N/A,#N/A,0.509990171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.985216528
1961-3,1.023840554,1.683333333,3.98,#N/A,#N/A,#N/A,#N/A,#N/A,6.690423275,5.584882907,5.584882907,2.33128064,#N/A,#N/A,3.245968723,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.089773159
1961-4,1.258347974,2.4,3.973333333,#N/A,#N/A,#N/A,#N/A,#N/A,6.980557446,7.271390257,7.271390257,3.609882189,#N/A,#N/A,5.460373415,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.146378476
1962-1,2.057046059,2.456666667,4.016666667,#N/A,3.83516129,3.631451613,#N/A,3.202258065,8.195466571,6.812210336,6.812210336,2.571765461,#N/A,#N/A,3.208905372,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.389053606
1962-2,0.659793964,2.606666667,3.873333333,#N/A,3.631428571,3.38984127,#N/A,3.014444444,8.376457334,6.617122208,6.617122208,2.646296865,#N/A,#N/A,4.305433017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.509322506
1962-3,0.823214944,2.846666667,3.99,#N/A,3.739365079,3.496507937,#N/A,3.187777778,6.169200732,5.311949292,5.311949292,-0.363967268,#N/A,#N/A,2.772285148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.324610963
1962-4,0.821524216,2.923333333,3.903333333,#N/A,3.599672131,3.363442623,#N/A,2.993606557,7.932165271,7.524229379,7.524229379,2.178852414,#N/A,#N/A,3.958128656,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.036141604
1963-1,1.754747937,2.966666667,3.893333333,#N/A,3.638852459,3.401639344,#N/A,3.027868852,8.830218901,8.270132008,8.270132008,4.143248032,#N/A,#N/A,4.442583518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.997086246
1963-2,0.699749435,2.963333333,3.963333333,#N/A,3.754444444,3.546349206,#N/A,3.141746032,8.604024147,7.499624873,7.499624873,3.657066393,#N/A,#N/A,5.256889691,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.940278345
1963-3,0.535646786,3.33,4.033333333,#N/A,3.9109375,3.78015625,#N/A,3.52609375,8.040648183,6.842887142,6.842887142,4.06363919,#N/A,#N/A,5.44484993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.164291542
1963-4,3.221991749,3.453333333,4.12,#N/A,4.006721311,3.939180328,#N/A,3.726885246,7.67764673,6.581938276,6.581938276,3.848706709,#N/A,#N/A,5.407820035,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.258586238
1964-1,1.267756845,3.463333333,4.18,#N/A,4.082622951,4.055737705,#N/A,3.830819672,6.628491214,6.295923735,6.295923735,2.603046063,#N/A,#N/A,5.038806049,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.76252493
1964-2,0.919487791,3.49,4.2,#N/A,4.075,4.0675,#N/A,3.86140625,6.784332902,6.445721493,6.445721493,2.758037214,#N/A,#N/A,5.556464138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.765458685
1964-3,1.581165589,3.456666667,4.193333333,#N/A,4.05203125,3.95515625,#N/A,3.765625,8.934911313,8.182103465,8.182103465,6.47511477,#N/A,#N/A,6.0490723,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.238463215
1964-4,1.825445267,3.576666667,4.173333333,#N/A,4.067377049,4.047213115,#N/A,3.933770492,8.108170046,7.8823661,7.8823661,5.205782965,#N/A,#N/A,5.649026478,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.468369493
1965-1,1.998414512,3.976666667,4.203333333,#N/A,4.133278689,4.08295082,#N/A,4.01295082,7.916093936,6.963718201,6.963718201,2.991910895,#N/A,#N/A,5.070729296,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.779321553
1965-2,1.830666811,4.08,4.206666667,#N/A,4.149365079,4.102063492,#N/A,4.018253968,6.606133944,5.892682915,5.892682915,2.311667941,#N/A,#N/A,4.67982023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.972597759
1965-3,1.552875611,4.076666667,4.246666667,#N/A,4.20171875,4.1634375,#N/A,4.08578125,7.726209724,6.906833925,6.906833925,4.58363927,#N/A,#N/A,5.530219863,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.104154208
1965-4,2.730997234,4.166666667,4.473333333,#N/A,4.514754098,4.53557377,#N/A,4.473114754,8.663531179,8.34262531,8.34262531,7.258263667,#N/A,#N/A,7.542455291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.329220099
1966-1,2.579506382,4.56,4.77,#N/A,4.92,4.964444444,#N/A,4.930634921,7.619829883,5.872068401,5.872068401,6.893307171,#N/A,#N/A,5.968150502,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.696569985
1966-2,3.245140457,4.913333333,4.78,#N/A,4.898571429,4.979047619,#N/A,4.934285714,4.792526308,-0.780061872,-0.780061872,4.29733599,#N/A,#N/A,5.684739848,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.889863482
1966-3,3.85102258,5.41,5.14,#N/A,5.3965625,5.5834375,#N/A,5.51921875,2.346711096,-2.192301135,-2.192301135,-1.245379484,#N/A,#N/A,4.192434307,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.608545544
1966-4,3.339496791,5.563333333,5.003333333,#N/A,5.205666667,5.394833333,#N/A,5.4365,4.011113167,-0.408467888,-0.408467888,1.16765676,#N/A,#N/A,2.81775572,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.316991964
1967-1,1.659351031,4.823333333,4.583333333,#N/A,4.653606557,4.643114754,#N/A,4.593934426,6.423172348,2.100729892,2.100729892,3.944728867,#N/A,#N/A,6.344655335,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.087501009
1967-2,2.037811084,3.99,4.82,#N/A,4.76359375,4.62953125,#N/A,4.24953125,9.472234187,5.558879884,5.558879884,5.50362208,#N/A,#N/A,5.153272435,#N/A,5.503589324,6.907097048,5.461873276,5.461873276,6.812285448,3.015395789
1967-3,3.811682068,3.893333333,5.246666667,#N/A,5.311904762,5.234603175,#N/A,5.127301587,10.71811668,7.273483316,7.273483316,8.710687752,#N/A,#N/A,6.117181594,#N/A,8.710637382,9.208223151,7.999324578,7.999324578,9.445389449,2.85869588
1967-4,4.425989622,4.173333333,5.643333333,#N/A,5.696721311,5.642295082,#N/A,5.560819672,8.372398677,4.906190406,4.906190406,6.483840621,#N/A,#N/A,6.8821884,#N/A,6.337606595,6.60399084,5.594495916,5.594495916,7.078550285,2.493140427
1968-1,4.398282934,4.79,5.61,#N/A,5.626451613,5.647903226,#N/A,5.476129032,6.795295268,2.534768239,2.534768239,5.227883456,#N/A,#N/A,6.167720765,#N/A,5.301910432,4.952548323,3.798754994,3.798754994,5.796688946,3.430895281
1968-2,4.206874886,5.983333333,5.743333333,#N/A,5.865322581,5.897096774,#N/A,5.951451613,6.533403772,3.551369881,3.551369881,6.794977883,#N/A,#N/A,5.910282067,#N/A,6.796274547,5.659817224,4.872331883,4.872331883,5.222250692,4.010520014
1968-3,3.899084179,5.946666667,5.46,#N/A,5.5246875,5.4521875,#N/A,5.51,7.692073645,4.074638583,4.074638583,7.72631572,#N/A,#N/A,7.024032123,#N/A,7.86699658,6.465571836,5.528223425,5.528223425,7.412976501,3.656103543
1968-4,5.608039814,5.916666667,5.77,#N/A,5.775,5.749354839,#N/A,5.832419355,9.162719997,5.474577653,5.474577653,8.534391187,#N/A,#N/A,7.467442402,#N/A,8.532878916,7.729959062,6.737501731,6.737501731,7.94657542,2.906051705
1969-1,4.105461778,6.566666667,6.176666667,#N/A,6.331147541,6.305409836,#N/A,6.362622951,6.771852308,3.865040987,3.865040987,7.153894074,#N/A,#N/A,5.576158927,#N/A,6.95196603,5.602899819,4.918092663,4.918092663,6.231080807,3.402246863
1969-2,5.06348345,8.326666667,6.353333333,#N/A,6.526031746,6.53015873,#N/A,6.574285714,3.505230915,0.569435643,0.569435643,3.197885121,#N/A,#N/A,3.19661204,#N/A,3.198935079,2.100036952,1.450594579,1.450594579,2.208119022,2.66137736
1969-3,5.579812951,8.983333333,6.856666667,6.981428571,7.201904762,7.456349206,#N/A,7.652857143,2.534278723,-1.510780346,-1.510780346,1.787638496,#N/A,#N/A,3.221647417,#N/A,1.788223069,0.070686496,-0.665226644,-0.665226644,0.106850442,2.346804113
1969-4,5.12200366,8.94,7.296666667,7.316393443,7.675409836,7.784590164,#N/A,7.899180328,3.430160513,0.0571143,0.0571143,3.223966791,#N/A,#N/A,5.71494211,#N/A,3.225105613,1.51310289,0.96466402,0.96466402,2.493424454,0.918422856
1970-1,5.583907075,8.573333333,7.366666667,7.4555,7.728833333,7.722666667,#N/A,7.55,1.477316376,-2.520776031,-2.520776031,4.236982498,#N/A,#N/A,4.075124732,#N/A,4.503155285,-0.046777999,-0.633140607,-0.633140607,1.225238974,-0.108421271
1970-2,5.544107234,7.886666667,7.713333333,7.736307692,7.771692308,7.717230769,#N/A,7.446769231,2.690567757,-5.380857883,-5.380857883,2.971589894,#N/A,#N/A,6.546090121,#N/A,3.037594596,-1.516619099,-2.877819669,-2.877819669,-0.422021103,-0.793540803
1970-3,3.267886446,6.706666667,7.46,7.53765625,7.4871875,7.38203125,#N/A,6.940625,8.935558046,4.604242387,4.604242387,5.243041818,#N/A,#N/A,7.366529567,#N/A,5.113500381,5.607855521,4.769693598,4.769693598,5.750201098,-0.673434946
1970-4,5.260830239,5.566666667,6.853333333,6.761639344,6.50442623,6.31147541,#N/A,5.641147541,10.61162471,8.066111078,8.066111078,7.11437657,#N/A,#N/A,7.458274717,#N/A,6.91853951,8.289351204,7.672861146,7.672861146,8.775280714,-2.491392234
1971-1,6.015692652,3.856666667,6.016666667,5.815901639,5.45852459,5.032295082,#N/A,4.034262295,12.63107219,9.259931023,9.259931023,6.621950567,#N/A,#N/A,8.309237313,#N/A,6.626348175,9.617301043,8.209075598,8.209075598,10.60641221,-0.606115631
