,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,DM2SL,DM2MSL,DMZMSL,DM1SL,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1
"1952-1",14.163,-0.19800000000000001,3.0670000000000002,3.6000000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.7084717210000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.6484848479999998,#N/A,-4.7400000000000002,#N/A,#N/A,#N/A,#N/A,#N/A
"1952-2",14.18,0.47999999999999998,2.9670000000000001,3.0329999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.87396014600000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.447264613,#N/A,0.67800000000000005,#N/A,#N/A,#N/A,#N/A,#N/A
"1952-3",14.339,4.46,3.2330000000000001,3.0329999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.9191924729999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.82570574799999996,#N/A,3.98,#N/A,#N/A,#N/A,#N/A,#N/A
"1952-4",14.378,1.0860000000000001,2.8330000000000002,2.4670000000000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.7557047499999996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.8351063829999998,#N/A,-3.3740000000000001,#N/A,#N/A,#N/A,#N/A,#N/A
"1953-1",14.381,0.083000000000000004,2.7000000000000002,3.1669999999999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.258185342,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.5724431820000002,#N/A,-1.0029999999999999,#N/A,#N/A,#N/A,#N/A,#N/A
"1953-2",14.409000000000001,0.77800000000000002,2.5670000000000002,2.6669999999999998,#N/A,#N/A,2.9969999999999999,#N/A,#N/A,#N/A,#N/A,0.50314703000000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.3493879720000002,#N/A,0.69499999999999995,#N/A,#N/A,#N/A,#N/A,#N/A
"1953-3",14.470000000000001,1.6899999999999999,2.7330000000000001,2.5670000000000002,#N/A,#N/A,2.9169999999999998,#N/A,#N/A,#N/A,#N/A,3.515333595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.850243002,#N/A,0.91200000000000003,-0.080000000000000002,#N/A,#N/A,#N/A,#N/A
"1953-4",14.497,0.746,3.7000000000000002,3.2999999999999998,#N/A,#N/A,2.6429999999999998,#N/A,#N/A,#N/A,#N/A,-0.51331298700000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.50143876799999998,#N/A,-0.94399999999999995,-0.27400000000000002,#N/A,#N/A,#N/A,#N/A
"1954-1",14.542999999999999,1.2669999999999999,5.2670000000000003,6.133,#N/A,#N/A,2.4399999999999999,#N/A,#N/A,#N/A,#N/A,0.88060076499999995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.686145741,#N/A,0.52100000000000002,-0.20300000000000001,#N/A,#N/A,#N/A,#N/A
"1954-2",14.555999999999999,0.35699999999999998,5.7999999999999998,5.8330000000000002,#N/A,#N/A,2.347,#N/A,#N/A,#N/A,#N/A,-0.56743789499999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.213919711,#N/A,-0.91000000000000003,-0.092999999999999999,#N/A,#N/A,#N/A,#N/A
