,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"11-1",0.12680286912506067,0.13430174752464627,0.34382749995423068,0.38084600733710194,0.62981275472187048,0.68722973600402104,0.03231480891763213,0.034225844718722982,0.32103130161836202,0.32229785146126372,0.54183711895163389,0.55998515999963183,-0.14879310400260426,-0.1299320666164305,-0.37399899542447562,-0.28395046633236787,-0.34697681814573211,-0.20350388036517145,-0.14879310400260426,-0.1299320666164305,-0.37403697717366768,-0.28395696999858977,-0.34651199916113984,-0.20248960430957419
"12-1",0.12680286912506067,0.13430174752464627,0.34382680059696241,0.38084617107191099,0.62979625335593836,0.6872440489310534,0.032314808917632117,0.034225844718722982,0.32103365440130321,0.3222989466503845,0.5418319519760143,0.55998591991236335,-0.14879310400260426,-0.12993206661643047,-0.37400241048978417,-0.28395313533962352,-0.34698022666435874,-0.20349926601103868,-0.14879310400260426,-0.12993206661643047,-0.37403407154627188,-0.28395632617196487,-0.34649281778279095,-0.20249598840459471
"13-1",0.1268028691250607,0.13430174752464627,0.34383382987257566,0.38084709121757077,0.6297676763577662,0.68718838015285821,0.032314808917632123,0.034225844718722982,0.32103291475301121,0.32229850368492435,0.54182227683814443,0.55999065556417238,-0.14879310400260426,-0.1299320666164305,-0.37403697717366802,-0.28395696999858999,-0.34673982651906565,-0.20302441655771603,-0.14879310400260426,-0.1299320666164305,-0.37403697717366802,-0.28395696999858999,-0.34648883515240497,-0.20251497935672103
"14-1",0.12680286912506078,0.13430174752464627,0.34383382987257605,0.38084709121757054,0.62976386630635883,0.68719783386561084,0.03231480891763213,0.034225844718722982,0.32103291475301104,0.32229850368492419,0.54180727493300318,0.55998302506573383,-0.14879310400260426,-0.12993206661643056,-0.37403697717366796,-0.28395696999858977,-0.34663890591314539,-0.2028203086765859,-0.14879310400260426,-0.12993206661643056,-0.37403697717366796,-0.28395696999858977,-0.34650095925098789,-0.20255105741634644
"15-1",0.12680286912506072,0.13430174752464627,0.34383382987257588,0.38084709121757032,0.62974563455187305,0.68719638815961881,0.03231480891763213,0.034225844718722982,0.3210329147530111,0.32229850368492413,0.54180271017326842,0.55998467196452928,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858955,-0.34658844778635667,-0.20272747212147474,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858955,-0.34649064642645289,-0.20256139645851126
"16-1",0.12680286912506075,0.13430174752464627,0.34383382987257594,0.38084709121757032,0.62974380371266825,0.68718920544096573,0.032314808917632123,0.034225844718722982,0.32103291475301121,0.32229850368492419,0.54180432196809392,0.55998777845339276,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858988,-0.34653259236663325,-0.2026900846066772,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858988,-0.34648706663301293,-0.20256454380307048
"17-1",0.12680286912506072,0.13430174752464627,0.34383382987257599,0.38084709121757077,0.62975488125386347,0.68721434160428074,0.03231480891763213,0.034225844718722982,0.32103291475301104,0.32229850368492419,0.5418061474741791,0.55999129493782984,-0.14879310400260434,-0.1299320666164307,-0.37403697717366824,-0.28395696999858977,-0.34660114693716237,-0.20282713632942084,-0.14879310400260434,-0.1299320666164307,-0.37403697717366824,-0.28395696999858977,-0.34648627054233544,-0.20256980200101093
"18-1",0.1268028691250607,0.13430174752464627,0.34383382987257599,0.38084709121757032,0.62975072185853431,0.68718812955268238,0.032314808917632123,0.034225844718722982,0.32103291475301121,0.32229850368492419,0.54179920608719156,0.55997935437595581,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858966,-0.3465218623007858,-0.20281177577323722,-0.14879310400260432,-0.12993206661643061,-0.37403697717366802,-0.28395696999858966,-0.34650042909276668,-0.20255908803656009
"19-1",0.12680286912506067,0.13430174752464627,0.34383382987257582,0.38084709121757065,0.6296998494688506,0.68719481532056015,0.032314808917632117,0.034225844718722989,0.3210329147530111,0.32229850368492463,0.54182749548669962,0.55999369843133273,-0.14879310400260429,-0.12993206661643061,-0.37403697717366774,-0.28395696999858921,-0.34643398703986017,-0.20300224971522773,-0.14879310400260429,-0.12993206661643061,-0.37403697717366774,-0.28395696999858921,-0.3464624100618271,-0.20251639258297016
"20-1",0.1268028691250607,0.13430174752464627,0.34383382987257605,0.38084709121757049,0.62976994707946465,0.68727730457513447,0.032314808917632137,0.034225844718722982,0.32103291475301138,0.32229850368492469,0.5417937695274051,0.55997073411138454,-0.14879310400260429,-0.12993206661643059,-0.37403697717366785,-0.28395696999858944,-0.34610170686091513,-0.20286021321551978,-0.14879310400260429,-0.12993206661643059,-0.37403697717366785,-0.28395696999858944,-0.34655414264736906,-0.20262244109833483
