,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"11-1",0.01608724283662586,0.018804434833450689,0.15452847010795789,0.30031123003667226,0.28447273607273854,0.53343536976215222,0.11865481190248697,0.13869602770064549,0.70057678065103834,0.94447973728837675,1.1207861970363311,1.503653846087232,-0.15255789287863236,-0.090487620669789243,-0.6368546097679344,-0.24897723466883454,-0.7256437828911908,-0.091861478629130619,-0.15255789287863236,-0.090487620669789243,-0.6368546097679344,-0.24897723466883454,-0.7256437828911908,-0.091861478629130619
"12-1",0.016087242836625864,0.018804434833450675,0.15452847010795798,0.30031123003667237,0.28447273607273865,0.53343536976215256,0.11865481190248697,0.13869602770064551,0.70057678065103846,0.94447973728837664,1.1207861970363304,1.503653846087232,-0.15255789287863236,-0.090487620669789284,-0.6368546097679344,-0.24897723466883465,-0.72564378289119058,-0.091861478629130661,-0.15255789287863236,-0.090487620669789284,-0.6368546097679344,-0.24897723466883465,-0.72564378289119058,-0.091861478629130661
"13-1",0.01608724283662586,0.018804434833450689,0.15452847010795762,0.30031123003667237,0.28447273607273865,0.53343536976215211,0.11865481190248697,0.13869602770064549,0.70057678065103823,0.94447973728837709,1.1207861970363298,1.503653846087232,-0.15255789287863236,-0.090487620669789354,-0.6368546097679344,-0.2489772346688349,-0.72564378289119058,-0.091861478629130508,-0.15255789287863236,-0.090487620669789354,-0.6368546097679344,-0.2489772346688349,-0.72564378289119058,-0.091861478629130508
"14-1",0.016087242836625864,0.018804434833450661,0.15452847010795795,0.30031123003667248,0.2844727360727391,0.533435369762152,0.11865481190248697,0.13869602770064551,0.70057678065103735,0.94447973728837675,1.12078619703633,1.503653846087232,-0.15255789287863236,-0.090487620669789298,-0.63685460976793462,-0.2489772346688349,-0.72564378289119058,-0.091861478629130661,-0.15255789287863236,-0.090487620669789298,-0.63685460976793462,-0.2489772346688349,-0.72564378289119058,-0.091861478629130661
"15-1",0.016087242836625867,0.018804434833450661,0.15452847010795792,0.30031123003667243,0.28447273607273899,0.53343536976215167,0.11865481190248697,0.13869602770064551,0.70057678065103823,0.94447973728837686,1.1207861970363295,1.5036538460872306,-0.15255789287863236,-0.090487620669789312,-0.63685460976793418,-0.24897723466883467,-0.72564378289119058,-0.091861478629130577,-0.15255789287863236,-0.090487620669789312,-0.63685460976793418,-0.24897723466883467,-0.72564378289119058,-0.091861478629130577
"16-1",0.016087242836625871,0.018804434833450633,0.15452847010795775,0.30031123003667243,0.28447273607273937,0.53343536976215156,0.11865481190248697,0.13869602770064551,0.70057678065103768,0.94447973728837609,1.1207861970363302,1.5036538460872304,-0.15255789287863236,-0.09048762066978934,-0.63685460976793418,-0.2489772346688349,-0.7256437828911908,-0.09186147862913055,-0.15255789287863236,-0.09048762066978934,-0.63685460976793418,-0.2489772346688349,-0.7256437828911908,-0.09186147862913055
"17-1",0.016087242836625874,0.018804434833450626,0.15452847010795773,0.30031123003667221,0.28447273607273921,0.53343536976215156,0.11865481190248697,0.13869602770064551,0.7005767806510369,0.94447973728837664,1.1207861970363295,1.5036538460872304,-0.15255789287863236,-0.090487620669789409,-0.63685460976793418,-0.2489772346688349,-0.7256437828911908,-0.091861478629130924,-0.15255789287863236,-0.090487620669789409,-0.63685460976793418,-0.2489772346688349,-0.7256437828911908,-0.091861478629130924
"18-1",0.016087242836625871,0.018804434833450654,0.15452847010795806,0.30031123003667193,0.28447273607273871,0.53343536976215122,0.11865481190248697,0.13869602770064551,0.70057678065103657,0.9444797372883762,1.1207861970363291,1.5036538460872306,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883503,-0.72564378289119058,-0.091861478629131174,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883503,-0.72564378289119058,-0.091861478629131174
"19-1",0.016087242836625888,0.018804434833450602,0.15452847010795773,0.30031123003667159,0.28447273607273865,0.53343536976215133,0.11865481190248699,0.13869602770064551,0.70057678065103612,0.94447973728837464,1.1207861970363291,1.5036538460872302,-0.15255789287863236,-0.090487620669789409,-0.63685460976793451,-0.24897723466883492,-0.72564378289119102,-0.091861478629131091,-0.15255789287863236,-0.090487620669789409,-0.63685460976793451,-0.24897723466883492,-0.72564378289119102,-0.091861478629131091
"20-1",0.016087242836625874,0.018804434833450574,0.15452847010795817,0.30031123003667204,0.28447273607273871,0.53343536976215167,0.118654811902487,0.13869602770064546,0.70057678065103646,0.94447973728837531,1.12078619703633,1.5036538460872306,-0.15255789287863236,-0.090487620669789409,-0.63685460976793462,-0.24897723466883476,-0.72564378289119102,-0.091861478629130799,-0.15255789287863236,-0.090487620669789409,-0.63685460976793462,-0.24897723466883476,-0.72564378289119102,-0.091861478629130799
