,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
"1-1",0,0.12680286912506067,0.1343017475246463,0.061328614168050521,0.20110337904115949,0.03231480891763213,0.034225844718722968,0,0.086521266085105186,-0.14879310400260429,-0.12993206661643047,-0.1797831766087378,-0.10523860793058785,0.10265671542862448,0.11333655452566757,0.054435661408935389,0.16469426349341426,0.02616133346254159,0.028883014462925509,0,0.068969965031782418,-0.0041507312919533039,-0.0039076404544878167,-0.013024998346220486,-0.0030325422788006259
"2-1",1,0.034692971198299685,0.043793260426170932,0,0.081411858002591417,0.03072594751802115,0.034503655380529102,0,0.09361519952393127,-0.13847381735408198,-0.11675034750501459,-0.19399634209515107,-0.070484240404014908,0.0039005577000711649,0.017731538587294138,0,0.090340511110220734,0.040595370007865936,0.043244708832601779,0,0.097322222787534551,-0.0069873925321452751,-0.0066308956214512363,-0.012877877081574413,-0.001926644597857104
"3-1",2,0.034557212351204195,0.042089053027440128,0,0.080089034503902201,0.085670949467314322,0.0859411828430727,0.019581629869546036,0.15141712015242398,-0.04878830662490017,-0.030770889655276343,-0.11874345405454714,0,0.13936890236279342,0.1442108170716227,0.05624633957681377,0.2212260186240918,0.065881376733040967,0.068696870445288591,0.0034843436953131829,0.13192997534106216,-0.011201964234748342,-0.0090798609236882617,-0.029688183074766082,0
"4-1",3,0.078467977367475544,0.084955010242079645,0.031937919833091778,0.13171985837147751,0.087865968363507935,0.089611489474290373,0.032185714136737896,0.14525752631230987,-0.020677708842999756,-0.0045817504021543141,-0.091013580004191644,0,0.082028610420511489,0.087199872480280854,0,0.1937331061068534,0.050197717113485467,0.053872149880454134,0,0.13699247387890229,-0.010607734961625648,-0.0075033532744789378,-0.034274552589171017,0
"5-1",4,0.069276397539183965,0.075703459682502625,0.02664854616045461,0.1175057029281044,0.079619836215089376,0.082702973519991271,0.034919084831668327,0.12686736764618642,-0.017093225180471461,-0.0018962388586625603,-0.086748128420669299,0.061327795004336168,0.10853485923053423,0.11172927409574081,0.0078877430589379266,0.20839539933562035,0.052760018680977516,0.055625587526844572,-0.048824162254051069,0.15706377115702397,-0.0082066557272002186,-0.0043205041279812274,-0.041531297416617659,0.026041686868073659
"6-1",5,0.065188513772808335,0.071172452542475631,0.022681990864417002,0.1131847609953915,0.070482465022065843,0.074426938021697461,0.03496925870489849,0.10881647614491288,-0.0051680665260013811,0.00926254040164717,-0.076429577206448884,0.073937378601276901,0.10134324123704147,0.10310697865796796,-0.0059626830730735159,0.20627083056055878,0.023663221187311366,0.029660553080843737,-0.10108215023332331,0.15594940491607445,-0.0072476866657669309,-0.0026515431975497263,-0.05739628428071239,0.049037873238599407
"7-1",6,0.073324859770623668,0.078600509955896139,0.028370032634516019,0.12328262359512709,0.060499677276644265,0.065109675241972656,0.031970243733391218,0.092215264917669237,0.0046474082550370726,0.018252994274419437,-0.065794549567594202,0.082450812999994877,0.089216477364366525,0.091309250911425485,0.0019889579175056821,0.17393121450758769,0.0071886648541579466,0.014675476237450505,-0.13307441503895931,0.1577239448433998,-0.0062626406195798456,-0.00078652763778139343,-0.067107548394671535,0.06304123499108967
"8-1",7,0.07429850864753805,0.0791389405965853,0.030456550590737923,0.12269289149547444,0.049384556168465224,0.054472260256475877,0.025239058229255124,0.077407991197351755,0.010475125794015853,0.023124334797078733,-0.058208058295604895,0.086069254038934936,0.086771127577983123,0.089517974630875422,0.0032143485104154934,0.17068560812208383,-0.014691098976010621,-0.0039969974827652128,-0.16685241555346225,0.15212120529998052,-0.0059964839751233314,0.00039270497239715787,-0.065918218099014145,0.06183229043819153
"9-1",8,0.073375480082508895,0.077606338265189506,0.031160235950844474,0.11979484568883939,0.039468518283598999,0.044895135855582122,0.017245081746901987,0.066511495127776529,0.016201031765161859,0.027913988782252177,-0.051074829162204793,0.089959819148559397,0.077014050205029813,0.078717357343149066,0.0027554891847980656,0.1496226405704717,-0.029865179109710406,-0.016688814281976834,-0.17919982392321387,0.13707159117519338,-0.0062487298227113632,0.00090737438478749447,-0.061214328865434375,0.056479105497700688
"10-1",9,0.073905807713723279,0.077486845467334961,0.032213129458441125,0.11941502738435014,0.030305199995257288,0.035874389672236037,0.0081164671218086452,0.058145791319385159,0.021349374701246211,0.032312991449118381,-0.04457879296408402,0.093570383054022432,0.073099686353345433,0.074912580156251615,0.0055438722688514325,0.14016854258606432,-0.040492775170865213,-0.024948383915917218,-0.17972646464277009,0.11929915867477831,-0.0064915423401202136,0.0010016581229770872,-0.060171128870987883,0.056266727499293699
"11-1",10,0.073184115219669887,0.076176651380276322,0.03348060580405253,0.11634258065319006,0.022060082630267798,0.027641484381710206,-0.0012276061088852576,0.051545385929588045,0.025262643777812469,0.035504600990244113,-0.038740089272530656,0.09537709185233044,0.067553890502265929,0.068880645187780185,0.0084488037833411189,0.12562925719702284,-0.04713043874445938,-0.029626562051752871,-0.16956935314706942,0.097842529201427844,-0.0072214136363341836,0.0011940151035669771,-0.056515895770474389,0.053603775663368484
"12-1",11,0.071835567104757747,0.074311082432021142,0.03363519859701105,0.11322452291350561,0.014851250721570487,0.020354952569520229,-0.0096691169478299969,0.045838206816650129,0.028571997198891863,0.038046451380693853,-0.03384028883698996,0.096763681585285227,0.063182663314148499,0.064753316206189987,0.0091378564443910237,0.11781207402550962,-0.049953350273274751,-0.030814823092513981,-0.15580036757603172,0.079889932094225929,-0.0074769660545854627,0.0019242331113548917,-0.051251295204284085,0.049170839489515568
"13-1",12,0.069915705478762899,0.071799118157383254,0.033831125354171779,0.10884767176990311,0.0086192178155901546,0.013968429675649884,-0.017087421100364493,0.040752051696601413,0.03203806246827632,0.040948043154420702,-0.028614981201712845,0.098249343383107521,0.058858619045402481,0.059733361603005818,0.010484773377981864,0.10801450002147645,-0.050835993846539952,-0.030360610993928835,-0.14174279642186788,0.064795070449091885,-0.0061055480900162667,0.0035509488466344218,-0.046785956831886813,0.046716504181829606
