,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1,PGR
1952-1,14.153,-0.197789006,3.067,3.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.708471721,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.86740656,#N/A,-4.74,#N/A,#N/A,#N/A,#N/A,#N/A,5.58372
1952-2,14.17,0.48017518,2.967,3.033,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.873960146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.630722955,#N/A,0.678,#N/A,#N/A,#N/A,#N/A,#N/A,5.69865
1952-3,14.329,4.463360813,3.233,3.033,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.919192473,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.03754072,#N/A,3.98,#N/A,#N/A,#N/A,#N/A,#N/A,5.21852
1952-4,14.368,1.08722233,2.833,2.467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.75570475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.099530158,#N/A,-3.374,#N/A,#N/A,#N/A,#N/A,#N/A,4.84467
1953-1,14.371,0.083510213,2.7,3.167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.258185342,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.887584773,#N/A,-1.003,#N/A,#N/A,#N/A,#N/A,#N/A,4.32138
1953-2,14.4,0.806367796,2.567,2.667,#N/A,#N/A,2.996666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.50314703,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.649275818,#N/A,0.695,#N/A,#N/A,#N/A,#N/A,#N/A,3.99848
1953-3,14.46,1.663204059,2.733,2.567,#N/A,#N/A,2.916666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.515333595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.155449024,#N/A,0.912,-0.08,#N/A,#N/A,#N/A,#N/A,3.54981
1953-4,14.487,0.746191532,3.7,3.3,#N/A,#N/A,2.643333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.513312987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.181553536,#N/A,-0.944,-0.274,#N/A,#N/A,#N/A,#N/A,3.15499
1954-1,14.533,1.268092034,5.267,6.133,#N/A,#N/A,2.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.880600765,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.387695411,#N/A,0.521,-0.203,#N/A,#N/A,#N/A,#N/A,2.9461
1954-2,14.546,0.357646435,5.8,5.833,#N/A,#N/A,2.346666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.567437895,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.930181971,#N/A,-0.91,-0.093,#N/A,#N/A,#N/A,#N/A,2.64229
1954-3,14.565,0.522139472,5.967,5.467,1.03,#N/A,2.346666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.272907154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.436773489,#N/A,0.165,0,#N/A,#N/A,#N/A,#N/A,2.48463
1954-4,14.605,1.097018171,5.333,4.767,0.986666667,-0.04,2.473333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.567109673,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1401584,#N/A,0.574,0.126,#N/A,#N/A,#N/A,#N/A,2.52341
1955-1,14.673,1.858053754,4.733,5.567,1.343333333,0.356,2.646666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.299870401,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.088691633,#N/A,0.761,0.174,#N/A,#N/A,#N/A,#N/A,2.43508
1955-2,14.734,1.659471214,4.4,4.5,1.5,0.157,2.763333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.060386724,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.07892107,#N/A,-0.199,0.116,#N/A,#N/A,#N/A,#N/A,2.59525
1955-3,14.837,2.786525083,4.1,3.767,1.94,0.44,2.946666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.604675552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.813169842,#N/A,1.127,0.184,#N/A,#N/A,#N/A,#N/A,2.52654
1955-4,14.984,3.943561669,4.233,3.7,2.356666667,0.417,2.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.181515011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.759041789,#N/A,1.183,-0.037,#N/A,#N/A,#N/A,#N/A,2.60275
