,Var1,Var2
"89-1",5.0733333329999999,5.0733333329999999
"90-1",4.4966666670000004,4.4966666670000004
"91-1",3.1766666670000006,3.1766666670000006
"92-1",2.0866666669999998,2.0866666669999998
"93-1",1.9399999999999999,1.9399999999999999
"94-1",0.50666666699999996,0.50666666699999996
"95-1",-1.7198602064574888,-1.6931627759749233
"96-1",-3.4137937357996928,-3.3635405940785743
"97-1",-4.4634395030225278,-4.3985900668381488
"98-1",-6.3772018245523494,-6.2857397546109155
"99-1",-5.7120439862907126,-5.6298315508212031
"100-1",-7.1564751691147324,-7.0541765831220813
"101-1",-6.1310223486917179,-6.0429836318782453
"102-1",-6.1489094384619616,-6.0606219851342003
"103-1",-5.3585241820549205,-5.2812277661820728
"104-1",-3.7828007799619825,-3.7274162542599032
"105-1",-4.9512422557098485,-4.8796094714278997
"106-1",-4.4200572130182545,-4.3558110476697767
"107-1",-4.2524938780125208,-4.1905778356973222
"108-1",-4.5267081382948611,-4.4609788932649064
"109-1",-5.1541097717224869,-5.0796559271426576
"110-1",-4.1963876866615966,-4.1352518527898017
"111-1",-4.4279191661750028,-4.3635636731019574
"112-1",-3.7894502990983878,-3.7339733056873112
"113-1",-2.6043596509227265,-2.5653624382210944
"114-1",-2.2279378491178568,-2.1941751294548357
"115-1",-2.4397290471149029,-2.4030211751088482
"116-1",-3.1519542418493294,-3.1053422202805105
"117-1",-2.9537682416327904,-2.9099121795581064
"118-1",-4.0457058264698329,-3.9866653631223721
"119-1",-2.9114787728057676,-2.868210784878543
"120-1",-1.7304424740701227,-1.7035978873763988
"121-1",-0.40902523708096317,-0.40055617830553347
"122-1",-0.62976351864692903,-0.61822489006265258
"123-1",0.35999999999999999,0.35999999999999999
"124-1",0.37333333299999999,0.37333333299999999
"125-1",0.39666666700000003,0.39666666700000003
"126-1",0.45000000000000007,0.45000000000000007
"127-1",0.69999999999999996,0.69999999999999996
"128-1",0.94999999999999996,0.94999999999999996
"129-1",1.1533333330000002,1.1533333330000002
"130-1",1.2033333330000002,1.2033333330000002
"131-1",1.4466666669999999,1.4466666669999999
"132-1",1.7366666669999999,1.7366666669999999
"133-1",1.923333333,1.923333333
"134-1",2.2200000000000006,2.2200000000000006
"135-1",2.4033333330000004,2.4033333330000004
