,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
"11-1",10,0.023358499402640735,0.02984814526544546,-0.00081623912879183816,0.052953000073739459,0.056919235425815957,0.05931840078991911,0.0057742857647086129,0.11424089427579473,0.011268700876976749,0.044449641250992059,-0.018431298686497392,0.07317824508805959,0.00088773303505089549,0.01884055445830848,-0.016912568594470018,0.039809451017032552,0.011040489818969941,0.048460882579002329,-0.034017657992468205,0.10243237715641275,-0.00012376627528205893,0.0002259448727586456,-0.0068399116389230149,0.0067408892776317448
"12-1",11,0.019603020952045455,0.021966054496891617,-0.0044775426360127157,0.044784842480133077,0.037773229618821028,0.046805231225977281,-0.0061032529429694282,0.094565963692481825,0.013823573850634289,0.039527601854272468,-0.015577159274042044,0.067866597862902361,-0.0054956202954589391,0.011603886921964882,-0.022627247371447088,0.031582837159572892,-0.0081472398721753464,0.027999761873696575,-0.051087356305708681,0.079225276276990414,-0.00015574986335950818,0.00022915938181873564,-0.0070557710462845263,0.0067650827675538013
"13-1",12,0.014938443162273765,0.015878710867039351,-0.0063988729639951423,0.038615256034790206,0.021608109526372689,0.035764829948438222,-0.01592698556212107,0.076844379819079087,0.014671605733580853,0.033643276169364557,-0.014151247283075267,0.061314533394318568,-0.0094071140729873985,0.0066444587545733142,-0.025372282343455038,0.025509728726239134,-0.020393899431946465,0.013840782510457877,-0.061009246203904396,0.062023811587973224,-0.000313800755122173,0.00036643943314563896,-0.0070828853525831898,0.0064159466609061688
"14-1",13,0.0089217606694128974,0.012313076407687022,-0.0092159222589732713,0.031839377073644051,0.008523037432375145,0.026016034412568147,-0.023613737424789449,0.061290283780476677,0.014263766298330947,0.027352315465347481,-0.013696422838750229,0.054108455541814829,-0.011164828601818002,0.0034227003180153891,-0.026939505044293967,0.021597002045710918,-0.026589510438781109,0.0046564391836619737,-0.065918418754077293,0.050340160757579619,-0.00027447966711526976,0.00027022186184119342,-0.0069232146842359349,0.0058908178540643414
"15-1",14,0.0039489028769530195,0.0090561067274227882,-0.011463827135918545,0.025757584595043528,-0.0016408595789913682,0.017632940882516018,-0.029288800534245481,0.047961631450662623,0.013011827868916487,0.02114446488162534,-0.013849544599879748,0.04681853837252431,-0.011732497011433101,0.0019002527262666769,-0.026588213494990409,0.018991179364514402,-0.028704464056056946,-0.00018723605957984352,-0.066539983161498395,0.043087665571540083,-0.00023982190644470161,0.0001843644056274833,-0.0066612573154610916,0.0053035544283932473
"16-1",15,5.9479499739983896e-05,0.0061953261558628349,-0.013106227953483077,0.020490342909975458,-0.0090889200321849252,0.01064223620706054,-0.033129363751766228,0.03689015875404688,0.011260599865251159,0.015369032580523901,-0.014335270845669833,0.039882588389481388,-0.011113003882412308,0.0012666980336364408,-0.025589709520803618,0.017727323517196632,-0.027866656416911609,-0.0019629164103314068,-0.064408415849366213,0.039315376871662894,-0.0002389985249051889,0.0001450039406447694,-0.0060340091699631277,0.004590061422836752
"17-1",16,-0.0028179593858653285,0.0037790537666678842,-0.014177615490935418,0.01606563191784811,-0.014074672780718202,0.0050456092728226442,-0.035338682425669982,0.028057782889645375,0.0092453367885401826,0.01020416043531509,-0.014964222633236794,0.033512040368592975,-0.009936458366320346,0.0013568112667474519,-0.023815613325960577,0.017248424422366338,-0.025162127612326623,-0.0017084714878518718,-0.060347484898284842,0.038057050244238007,-0.0002493139784365517,0.00011967829140013539,-0.0054401308073613068,0.0040278611760249496
"18-1",17,-0.004821326642261676,0.0017907611695356129,-0.014774657493437211,0.012452406137708535,-0.016996111453861894,0.00073116596665554303,-0.036210625238191574,0.021272923236574474,0.005781684459279241,0.0071674974667144476,-0.014958327145205546,0.028541880031753581,-0.0084895099019075479,0.0018464453524706375,-0.021714057785078601,0.017179229699515821,-0.021502907550665237,-0.00026186809780275191,-0.055206073673149343,0.038246503217065075,-0.0002582813466473126,0.00010028386142851159,-0.0048265765941057272,0.0035343888641444212
"19-1",18,-0.0060386475800202569,0.0002398302614575215,-0.014943944603052295,0.0096469945454899109,-0.018227357792841587,-0.0024239294044291967,-0.035996724438838182,0.016315076337950141,0.0021559540909053734,0.0051721127469205085,-0.015733659587680353,0.023437329657086101,-0.0069812670029632071,0.0025014044789906536,-0.019497925279286038,0.017287718556040534,-0.017563074269729997,0.0017329046412148737,-0.049469002259415903,0.038840441426753358,-0.00025505090081723585,8.3544254578252547e-05,-0.004233628616750626,0.0031498913616926807
"20-1",19,-0.0066178668277476014,-0.0009154966670420644,-0.01478868218746736,0.0075801263693082155,-0.018145297950001481,-0.0045770538543630345,-0.034935503572310379,0.01290109921236819,-0.00067138698103667567,0.003366889361207145,-0.016267178119208612,0.019138171214521323,-0.0055700106833259898,0.0031709042442531741,-0.017240441302647777,0.017347608800033963,-0.013806616655094228,0.0038219798612330507,-0.043710861837322729,0.039377572957284106,-0.00023697197465951297,7.7090005712686179e-05,-0.0038272914598921539,0.0030014705077717626
"21-1",20,-0.0066856382238814965,-0.0017096134027364085,-0.014365286535194338,0.0061553967632022571,-0.017086421604524539,-0.005874697566587434,-0.033208153981463526,0.010733376639467596,-0.0027515962211038811,0.0018066141297268636,-0.01652291910010464,0.015613479539413274,-0.0043372147653726999,0.0037557408749639802,-0.015179434512477649,0.0172034740684128,-0.010485276885771663,0.0056999708275828898,-0.038124648459394221,0.039383738429501859,-0.00019013401961224822,6.0938621781652463e-05,-0.0035000800026177298,0.0028507644744981643
